Customer ID,clv,cluster,cluster_label
18102.0,209928.67927188997,2,Cluster 2: Premium
14646.0,187511.20429737298,2,Cluster 2: Premium
14156.0,134799.53095354442,2,Cluster 2: Premium
14911.0,102149.32472542868,2,Cluster 2: Premium
13694.0,86926.10463033328,2,Cluster 2: Premium
17511.0,61248.19096400524,2,Cluster 2: Premium
17450.0,56573.93400563923,2,Cluster 2: Premium
16684.0,56572.93695125872,2,Cluster 2: Premium
15061.0,54958.560053187,2,Cluster 2: Premium
12415.0,48672.73471971086,2,Cluster 2: Premium
13089.0,45138.95983320874,2,Cluster 2: Premium
15311.0,44880.06913155742,2,Cluster 2: Premium
12346.0,44405.88816415906,3,Cluster 3: Potential
17949.0,36333.938003571726,2,Cluster 2: Premium
14298.0,36021.34238629226,2,Cluster 2: Premium
16029.0,33921.20293533192,2,Cluster 2: Premium
13798.0,32548.55401299505,2,Cluster 2: Premium
15769.0,32084.860771405965,2,Cluster 2: Premium
15749.0,30635.91460660091,3,Cluster 3: Potential
12931.0,30279.768725423542,2,Cluster 2: Premium
13093.0,29835.587256775645,2,Cluster 2: Premium
15838.0,26109.557921603642,2,Cluster 2: Premium
16422.0,25253.270856063038,2,Cluster 2: Premium
16333.0,23134.23200768752,2,Cluster 2: Premium
14680.0,21399.69910403123,2,Cluster 2: Premium
17841.0,21160.148636858725,2,Cluster 2: Premium
13081.0,20815.29163753509,2,Cluster 2: Premium
13881.0,18474.741185301373,2,Cluster 2: Premium
16705.0,18110.35740516426,2,Cluster 2: Premium
13408.0,18017.703618296306,2,Cluster 2: Premium
15039.0,17532.62470857133,2,Cluster 2: Premium
16754.0,17518.336174616372,2,Cluster 2: Premium
17381.0,16737.278923126752,2,Cluster 2: Premium
17389.0,16584.96251208086,2,Cluster 2: Premium
17404.0,16398.327167325227,2,Cluster 2: Premium
12748.0,16210.6381431545,2,Cluster 2: Premium
16013.0,16126.311772874822,2,Cluster 2: Premium
13802.0,16088.905393474892,2,Cluster 2: Premium
13777.0,15767.671978745911,2,Cluster 2: Premium
12471.0,15485.120280458137,2,Cluster 2: Premium
14031.0,15077.41929763795,2,Cluster 2: Premium
16779.0,14208.992852253228,2,Cluster 2: Premium
17940.0,14125.463530257213,2,Cluster 2: Premium
12753.0,14092.204342899913,2,Cluster 2: Premium
14606.0,14003.015349883664,2,Cluster 2: Premium
14258.0,13963.739677645992,2,Cluster 2: Premium
17675.0,13797.944226290881,2,Cluster 2: Premium
17850.0,13645.530271060437,2,Cluster 2: Premium
12709.0,13346.724936512712,2,Cluster 2: Premium
12681.0,13138.220909446001,2,Cluster 2: Premium
17677.0,13136.564289885951,2,Cluster 2: Premium
12921.0,13073.688943166959,2,Cluster 2: Premium
14733.0,13018.366897717982,2,Cluster 2: Premium
12901.0,12967.14370418092,2,Cluster 2: Premium
12939.0,12504.773456513101,2,Cluster 2: Premium
15856.0,12471.158587263057,2,Cluster 2: Premium
13767.0,12378.378339124727,2,Cluster 2: Premium
14527.0,12183.887832550072,2,Cluster 2: Premium
18008.0,11852.332074003722,2,Cluster 2: Premium
16210.0,11744.172409184577,2,Cluster 2: Premium
17920.0,11710.709421047939,2,Cluster 2: Premium
13078.0,11556.851741829736,2,Cluster 2: Premium
13001.0,11356.577005547868,2,Cluster 2: Premium
12678.0,11275.0693273425,2,Cluster 2: Premium
14062.0,11154.153909104269,2,Cluster 2: Premium
17865.0,10762.382967370035,2,Cluster 2: Premium
17428.0,10496.290505228126,2,Cluster 2: Premium
12621.0,10229.639301971576,2,Cluster 2: Premium
14063.0,10047.002092047544,3,Cluster 3: Potential
18251.0,9509.418621363291,2,Cluster 2: Premium
12744.0,9476.444796670537,2,Cluster 2: Premium
16553.0,9369.582116976955,2,Cluster 2: Premium
15513.0,9345.653151817663,2,Cluster 2: Premium
15808.0,9221.321328063106,2,Cluster 2: Premium
16525.0,9199.73434848254,2,Cluster 2: Premium
15640.0,9091.105261296612,2,Cluster 2: Premium
14088.0,9063.504533497568,2,Cluster 2: Premium
16019.0,9044.499619678005,2,Cluster 2: Premium
13458.0,8962.63341740678,2,Cluster 2: Premium
14895.0,8831.485525321734,2,Cluster 2: Premium
12647.0,8772.28119536782,2,Cluster 2: Premium
13027.0,8696.084958486419,2,Cluster 2: Premium
15768.0,8581.456135289507,2,Cluster 2: Premium
16133.0,8375.558098693833,2,Cluster 2: Premium
12682.0,8337.181476279167,2,Cluster 2: Premium
15615.0,8321.3827916599,2,Cluster 2: Premium
14667.0,8304.204176848989,2,Cluster 2: Premium
17377.0,8295.748906833014,2,Cluster 2: Premium
17243.0,8228.12526400318,2,Cluster 2: Premium
12731.0,8159.693941184409,2,Cluster 2: Premium
12476.0,8087.241612935267,2,Cluster 2: Premium
13319.0,8083.04286501406,2,Cluster 2: Premium
15498.0,7996.445537686401,2,Cluster 2: Premium
17735.0,7944.216103920324,2,Cluster 2: Premium
17589.0,7933.287919745756,2,Cluster 2: Premium
15159.0,7816.676525636373,2,Cluster 2: Premium
13113.0,7767.851225092951,2,Cluster 2: Premium
18087.0,7739.98777378599,2,Cluster 2: Premium
16746.0,7738.309500902612,2,Cluster 2: Premium
15523.0,7686.186106573151,2,Cluster 2: Premium
